# Created At: Thu Sep 25 2025 08:13:56 GMT+0100 (British Summer Time)
# We regularly expand our single cell data corpus to improve results. Downloaded data and figures may differ in the future.
# Link Generated: https://cellxgene.cziscience.com/gene-expression?diseases=PATO%3A0000461&genes=CTLA4%2CPDCD1%2CHAVCR2%2CLAG3%2CTOX&ver=2
# Dataset Filter Values: No selection
# Disease Filter Values: normal
# Self-Reported Ethnicity Filter Values: No selection
# Publication Filter Values: No selection
# Sex Filter Values: No selection
# Organism Filter Value: Homo sapiens
Tissue,Cell Type,Cell Count,Tissue Composition,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
abdomen,fallopian tube secretory epithelial cell,53830,0.01%,HAVCR2,1.6576447804768881,0.09230394208626386,15
abdomen,fallopian tube secretory epithelial cell,53830,0.03%,LAG3,1.8827338082449776,0.16889253826286152,70
abdomen,fallopian tube secretory epithelial cell,53830,0.03%,TOX,1.8046714587089343,0.14233111132661694,78
abdomen,mast cell,177,0.00%,CTLA4,1.8420190811157227,0.15503898073736694,1
abdomen,mast cell,177,,PDCD1,,,
abdomen,mast cell,177,0.01%,HAVCR2,1.7831804102117366,0.13501858591796218,22
abdomen,mast cell,177,0.00%,LAG3,1.5164862871170044,0.04427347630995847,1
abdomen,mast cell,177,0.00%,TOX,1.9107343355814617,0.17841997326122702,3
abdomen,endothelial cell,1362,0.00%,CTLA4,1.841795802116394,0.15496300801988774,1
abdomen,endothelial cell,1362,,PDCD1,,,
abdomen,endothelial cell,1362,,HAVCR2,,,
abdomen,endothelial cell,1362,0.00%,LAG3,1.47480042775472,0.030089482178259335,3
abdomen,endothelial cell,1362,0.00%,TOX,1.7967770099639893,0.13964495308532587,1
abdomen,monocyte,55020,0.09%,CTLA4,1.717946276686708,0.1128220765677762,217
abdomen,monocyte,55020,0.01%,PDCD1,1.6585041284561157,0.09259634307981228,32
abdomen,monocyte,55020,3.93%,HAVCR2,1.7193104584030756,0.11328625184820802,9559
abdomen,monocyte,55020,0.13%,LAG3,1.6717391537274686,0.09709968122981345,319
abdomen,monocyte,55020,0.01%,TOX,1.5955735483477194,0.07118363880509823,31
abdomen,dendritic cell,2773,0.00%,CTLA4,1.6496210098266602,0.089573780886327,3
abdomen,dendritic cell,2773,0.00%,PDCD1,1.4899802207946777,0.035254545312209534,2
abdomen,dendritic cell,2773,0.02%,HAVCR2,1.9216031161221592,0.18211817504395095,44
abdomen,dendritic cell,2773,0.01%,LAG3,1.6301014548853825,0.08293207415469232,19
abdomen,dendritic cell,2773,,TOX,,,
abdomen,plasma cell,5262,0.01%,CTLA4,1.8493142561479048,0.1575212306280771,33
abdomen,plasma cell,5262,0.00%,PDCD1,1.5852017402648926,0.06765453643723325,6
abdomen,plasma cell,5262,0.01%,HAVCR2,1.7446808815002441,0.12191876987312232,24
abdomen,plasma cell,5262,0.01%,LAG3,1.7307159199434168,0.11716706423956504,17
abdomen,plasma cell,5262,0.00%,TOX,1.6095693906148274,0.07594585188218923,12
abdomen,B cell,6223,0.01%,CTLA4,1.7852420806884766,0.13572008811537242,20
abdomen,B cell,6223,0.00%,PDCD1,1.5497467858450753,0.05559066458419561,7
abdomen,B cell,6223,0.01%,HAVCR2,1.7730668590914818,0.13157735783882793,31
abdomen,B cell,6223,0.00%,LAG3,1.8187928633256392,0.14713604813921655,11
abdomen,B cell,6223,0.02%,TOX,1.647208612615412,0.08875294071627572,55
abdomen,T cell,87662,3.33%,CTLA4,2.040457795736219,0.2225595646173197,8109
abdomen,T cell,87662,2.52%,PDCD1,1.8396561274710015,0.15423496419211788,6121
abdomen,T cell,87662,3.62%,HAVCR2,1.9222175289641072,0.18232723462141803,8804
abdomen,T cell,87662,4.79%,LAG3,1.9463726912433499,0.19054624906085654,11654
abdomen,T cell,87662,2.66%,TOX,1.7665143640223615,0.1293478115842897,6462
abdomen,fibroblast,31004,0.00%,CTLA4,1.5031747817993164,0.03974411512612749,3
abdomen,fibroblast,31004,0.00%,PDCD1,1.6410518884658813,0.08665805912948894,2
abdomen,fibroblast,31004,0.00%,HAVCR2,1.485192060470581,0.033625330058461675,4
abdomen,fibroblast,31004,0.02%,LAG3,1.7351505572979267,0.11867599007616401,52
abdomen,fibroblast,31004,0.01%,TOX,1.520544409751892,0.04565428957660401,16
adipose tissue,aggregated,448895,0.65%,CTLA4,1.962017969814011,0.19586969789530306,2937
adipose tissue,aggregated,448895,0.12%,PDCD1,1.7937782505580357,0.13862459782656142,525
adipose tissue,aggregated,448895,3.37%,HAVCR2,1.832790863160156,0.15189899534831136,15129
adipose tissue,aggregated,448895,0.27%,LAG3,1.7783765425434463,0.13338402609698516,1194
adipose tissue,aggregated,448895,5.32%,TOX,2.1810899155638848,0.270410926994864,23879
adipose tissue,cell,448895,0.65%,CTLA4,1.962017969814011,0.19586969789530306,2937
adipose tissue,cell,448895,0.12%,PDCD1,1.7937782505580357,0.13862459782656142,525
adipose tissue,cell,448895,3.37%,HAVCR2,1.832790863160156,0.15189899534831136,15129
adipose tissue,cell,448895,0.27%,LAG3,1.7783765425434463,0.13338402609698516,1194
adipose tissue,cell,448895,5.32%,TOX,2.1810899155638848,0.270410926994864,23879
adipose tissue,blood cell,3586,0.00%,CTLA4,1.806296944618225,0.1428841977437198,2
adipose tissue,blood cell,3586,,PDCD1,,,
adipose tissue,blood cell,3586,0.01%,HAVCR2,1.6586617363823786,0.09264997061527444,27
adipose tissue,blood cell,3586,,LAG3,,,
adipose tissue,blood cell,3586,0.01%,TOX,1.9044756208147322,0.17629038843602876,35
adipose tissue,mononuclear phagocyte,61597,0.05%,CTLA4,1.828702762655543,0.15050798183787167,221
adipose tissue,mononuclear phagocyte,61597,0.01%,PDCD1,1.7920633951822917,0.13804110263278663,45
adipose tissue,mononuclear phagocyte,61597,1.73%,HAVCR2,1.8327016564547731,0.1518686419525792,7783
adipose tissue,mononuclear phagocyte,61597,0.02%,LAG3,1.6663272564227765,0.09525823377531854,78
adipose tissue,mononuclear phagocyte,61597,0.37%,TOX,2.01240614051198,0.21301473288848075,1659
adipose tissue,professional antigen presenting cell,57968,0.04%,CTLA4,1.8107549493963069,0.14440107455947304,198
adipose tissue,professional antigen presenting cell,57968,0.01%,PDCD1,1.7886754816228694,0.1368883341213372,44
adipose tissue,professional antigen presenting cell,57968,1.64%,HAVCR2,1.8295723720435755,0.150803874369426,7378
adipose tissue,professional antigen presenting cell,57968,0.02%,LAG3,1.6557363891601562,0.09165459452208717,75
adipose tissue,professional antigen presenting cell,57968,0.34%,TOX,1.9899395942055997,0.2053702854464889,1509
adipose tissue,secretory cell,2726,0.00%,CTLA4,1.6911180019378662,0.103693511211979,4
adipose tissue,secretory cell,2726,0.00%,PDCD1,2.607640027999878,0.4155484960464374,2
adipose tissue,secretory cell,2726,0.03%,HAVCR2,1.902518618423327,0.17562450051000156,113
adipose tissue,secretory cell,2726,,LAG3,,,
adipose tissue,secretory cell,2726,0.24%,TOX,2.3296492293074325,0.32095958945698905,1073
adipose tissue,contractile cell,16234,0.00%,CTLA4,1.8252065658569336,0.149318368965944,10
adipose tissue,contractile cell,16234,0.00%,PDCD1,2.264688730239868,0.2988561867285276,1
adipose tissue,contractile cell,16234,0.07%,HAVCR2,1.9037094116210938,0.17602967876439238,304
adipose tissue,contractile cell,16234,0.00%,LAG3,1.8135469436645508,0.14535107609290285,20
adipose tissue,contractile cell,16234,0.20%,TOX,2.087801943722648,0.2386688430988705,914
adipose tissue,myeloid leukocyte,65250,0.04%,CTLA4,1.8140447169174383,0.14552044798557542,162
adipose tissue,myeloid leukocyte,65250,0.01%,PDCD1,1.837883504231771,0.15363181295552114,45
adipose tissue,myeloid leukocyte,65250,1.67%,HAVCR2,1.8242334831859146,0.14898726870541104,7490
adipose tissue,myeloid leukocyte,65250,0.02%,LAG3,1.66670544116528,0.09538691458580031,77
adipose tissue,myeloid leukocyte,65250,0.53%,TOX,2.1058847312159186,0.24482167659236378,2384
