# Created At: Thu Sep 25 2025 10:10:00 GMT+0100 (British Summer Time)
# We regularly expand our single cell data corpus to improve results. Downloaded data and figures may differ in the future.
# Link Generated: https://cellxgene.cziscience.com/gene-expression?diseases=PATO%3A0000461&genes=SLC9A1%2CSLC4A2%2CSLC4A3%2CCA2%2CCA9%2CCA4%2CSLC4A7%2CSLC4A4%2CSLC4A5&ver=2
# Dataset Filter Values: No selection
# Disease Filter Values: normal
# Self-Reported Ethnicity Filter Values: No selection
# Publication Filter Values: No selection
# Sex Filter Values: No selection
# Organism Filter Value: Homo sapiens
Tissue,Cell Type,Cell Count,Tissue Composition,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
abdomen,mononuclear cell,156940,,SLC4A4,,,
abdomen,mononuclear cell,156940,,SLC4A5,,,
abdomen,myeloid leukocyte,55197,,SLC9A1,,,
abdomen,myeloid leukocyte,55197,,SLC4A2,,,
abdomen,myeloid leukocyte,55197,,SLC4A3,,,
abdomen,myeloid leukocyte,55197,,CA2,,,
abdomen,myeloid leukocyte,55197,,CA9,,,
abdomen,myeloid leukocyte,55197,,CA4,,,
abdomen,myeloid leukocyte,55197,,SLC4A7,,,
abdomen,myeloid leukocyte,55197,,SLC4A4,,,
abdomen,myeloid leukocyte,55197,,SLC4A5,,,
abdomen,leukocyte,157117,,SLC9A1,,,
abdomen,leukocyte,157117,,SLC4A2,,,
abdomen,leukocyte,157117,,SLC4A3,,,
abdomen,leukocyte,157117,,CA2,,,
abdomen,leukocyte,157117,,CA9,,,
abdomen,leukocyte,157117,,CA4,,,
abdomen,leukocyte,157117,,SLC4A7,,,
abdomen,leukocyte,157117,,SLC4A4,,,
abdomen,leukocyte,157117,,SLC4A5,,,
abdomen,lymphocyte,99147,,SLC9A1,,,
abdomen,lymphocyte,99147,,SLC4A2,,,
abdomen,lymphocyte,99147,,SLC4A3,,,
abdomen,lymphocyte,99147,,CA2,,,
abdomen,lymphocyte,99147,,CA9,,,
abdomen,lymphocyte,99147,,CA4,,,
abdomen,lymphocyte,99147,,SLC4A7,,,
abdomen,lymphocyte,99147,,SLC4A4,,,
abdomen,lymphocyte,99147,,SLC4A5,,,
abdomen,secretory cell,54007,,SLC9A1,,,
abdomen,secretory cell,54007,,SLC4A2,,,
abdomen,secretory cell,54007,,SLC4A3,,,
abdomen,secretory cell,54007,,CA2,,,
abdomen,secretory cell,54007,,CA9,,,
abdomen,secretory cell,54007,,CA4,,,
abdomen,secretory cell,54007,,SLC4A7,,,
abdomen,secretory cell,54007,,SLC4A4,,,
abdomen,secretory cell,54007,,SLC4A5,,,
abdomen,mononuclear phagocyte,57793,,SLC9A1,,,
abdomen,mononuclear phagocyte,57793,,SLC4A2,,,
abdomen,mononuclear phagocyte,57793,,SLC4A3,,,
abdomen,mononuclear phagocyte,57793,,CA2,,,
abdomen,mononuclear phagocyte,57793,,CA9,,,
abdomen,mononuclear phagocyte,57793,,CA4,,,
abdomen,mononuclear phagocyte,57793,,SLC4A7,,,
abdomen,mononuclear phagocyte,57793,,SLC4A4,,,
abdomen,mononuclear phagocyte,57793,,SLC4A5,,,
abdomen,epithelial cell,55192,,SLC9A1,,,
abdomen,epithelial cell,55192,,SLC4A2,,,
abdomen,epithelial cell,55192,,SLC4A3,,,
abdomen,epithelial cell,55192,,CA2,,,
abdomen,epithelial cell,55192,,CA9,,,
abdomen,epithelial cell,55192,,CA4,,,
abdomen,epithelial cell,55192,,SLC4A7,,,
abdomen,epithelial cell,55192,,SLC4A4,,,
abdomen,epithelial cell,55192,,SLC4A5,,,
abdomen,cell,243313,,SLC9A1,,,
abdomen,cell,243313,,SLC4A2,,,
abdomen,cell,243313,,SLC4A3,,,
abdomen,cell,243313,,CA2,,,
abdomen,cell,243313,,CA9,,,
abdomen,cell,243313,,CA4,,,
abdomen,cell,243313,,SLC4A7,,,
abdomen,cell,243313,,SLC4A4,,,
abdomen,cell,243313,,SLC4A5,,,
abdomen,aggregated,243313,,SLC9A1,,,
abdomen,aggregated,243313,,SLC4A2,,,
abdomen,aggregated,243313,,SLC4A3,,,
abdomen,aggregated,243313,,CA2,,,
abdomen,aggregated,243313,,CA9,,,
abdomen,aggregated,243313,,CA4,,,
abdomen,aggregated,243313,,SLC4A7,,,
abdomen,aggregated,243313,,SLC4A4,,,
abdomen,aggregated,243313,,SLC4A5,,,
adipose tissue,aggregated,448895,2.45%,SLC9A1,1.7931676136363637,0.09996800086158963,11000
adipose tissue,aggregated,448895,1.46%,SLC4A2,1.772250277098303,0.0948277028527239,6541
adipose tissue,aggregated,448895,0.42%,SLC4A3,1.754809518697146,0.09054175107681542,1892
adipose tissue,aggregated,448895,0.25%,CA2,1.8852662232545045,0.1226006290060965,1110
adipose tissue,aggregated,448895,0.16%,CA9,1.7680074697237644,0.09378506081942017,698
adipose tissue,aggregated,448895,2.05%,CA4,2.015071735120344,0.15449948061034746,9182
adipose tissue,aggregated,448895,16.01%,SLC4A7,1.9402434749784296,0.13611092736818445,71858
adipose tissue,aggregated,448895,14.22%,SLC4A4,2.0628448832928643,0.16623941786199636,63835
adipose tissue,aggregated,448895,1.36%,SLC4A5,1.7874620535714285,0.09856589696619716,6125
adipose tissue,cell,448895,2.45%,SLC9A1,1.7931676136363637,0.09996800086158963,11000
adipose tissue,cell,448895,1.46%,SLC4A2,1.772250277098303,0.0948277028527239,6541
adipose tissue,cell,448895,0.42%,SLC4A3,1.754809518697146,0.09054175107681542,1892
adipose tissue,cell,448895,0.25%,CA2,1.8852662232545045,0.1226006290060965,1110
adipose tissue,cell,448895,0.16%,CA9,1.7680074697237644,0.09378506081942017,698
adipose tissue,cell,448895,2.05%,CA4,2.015071735120344,0.15449948061034746,9182
adipose tissue,cell,448895,16.01%,SLC4A7,1.9402434749784296,0.13611092736818445,71858
adipose tissue,cell,448895,14.22%,SLC4A4,2.0628448832928643,0.16623941786199636,63835
adipose tissue,cell,448895,1.36%,SLC4A5,1.7874620535714285,0.09856589696619716,6125
adipose tissue,blood cell,3586,0.11%,SLC9A1,1.7469254659656708,0.08860429692324029,477
adipose tissue,blood cell,3586,0.00%,SLC4A2,1.5616848468780518,0.04308263197681836,8
adipose tissue,blood cell,3586,,SLC4A3,,,
adipose tissue,blood cell,3586,0.02%,CA2,2.591618310837519,0.29618201317298176,84
adipose tissue,blood cell,3586,,CA9,,,
adipose tissue,blood cell,3586,0.11%,CA4,1.7195289847777062,0.08187179169035949,485
adipose tissue,blood cell,3586,0.01%,SLC4A7,1.7966787164861506,0.10083083131588017,33
adipose tissue,blood cell,3586,0.00%,SLC4A4,1.5100278854370117,0.03038827313451178,5
adipose tissue,blood cell,3586,0.00%,SLC4A5,1.7962321043014526,0.10072107930612686,2
adipose tissue,mononuclear phagocyte,61597,0.51%,SLC9A1,1.8078375147599957,0.10357303266852419,2276
adipose tissue,mononuclear phagocyte,61597,0.20%,SLC4A2,1.7789212533555891,0.09646705143375016,908
adipose tissue,mononuclear phagocyte,61597,0.02%,SLC4A3,1.7746446826789952,0.09541611229082103,79
adipose tissue,mononuclear phagocyte,61597,0.06%,CA2,1.9108911230860943,0.1288977797615013,249
adipose tissue,mononuclear phagocyte,61597,0.01%,CA9,1.8558613976766898,0.11537458633600521,43
adipose tissue,mononuclear phagocyte,61597,0.07%,CA4,1.8260634112509952,0.10805192697096125,314
adipose tissue,mononuclear phagocyte,61597,4.26%,SLC4A7,1.9938131647198705,0.1492753266220014,19134
adipose tissue,mononuclear phagocyte,61597,0.30%,SLC4A4,1.8505747232092433,0.11407542082374751,1328
adipose tissue,mononuclear phagocyte,61597,0.12%,SLC4A5,1.7593538588371829,0.09165849280590395,552
adipose tissue,professional antigen presenting cell,57968,0.48%,SLC9A1,1.8019047939683595,0.1021151055171914,2161
adipose tissue,professional antigen presenting cell,57968,0.19%,SLC4A2,1.7744113370758667,0.09535876914213877,851
adipose tissue,professional antigen presenting cell,57968,0.02%,SLC4A3,1.758271445690746,0.0913924968875768,71
adipose tissue,professional antigen presenting cell,57968,0.05%,CA2,1.8974257556632097,0.1255887541966759,229
adipose tissue,professional antigen presenting cell,57968,0.01%,CA9,1.8521778106689453,0.11446936903326976,40
adipose tissue,professional antigen presenting cell,57968,0.07%,CA4,1.8276502589723762,0.10844188437150054,293
adipose tissue,professional antigen presenting cell,57968,4.12%,SLC4A7,1.994632470732169,0.14947666569096016,18493
